pais,jugador,posicion_listado
México,Raúl Rangel,ARQUEROS
México,Carlos Acevedo,ARQUEROS
México,Guillermo Ochoa,ARQUEROS
México,Israel Reyes,DEFENSORES
México,Jorge Sánchez,DEFENSORES
México,César Montes,DEFENSORES
México,Edson Álvarez,DEFENSORES
México,Johan Vásquez,DEFENSORES
México,Jesús Gallardo,DEFENSORES
México,Mateo Chávez,DEFENSORES
México,Erik Lira,MEDIOCAMPISTAS
México,Obed Vargas,MEDIOCAMPISTAS
México,Luis Romo,MEDIOCAMPISTAS
México,Álvaro Fidalgo,MEDIOCAMPISTAS
México,Luis Chávez,MEDIOCAMPISTAS
México,Orbelín Pineda,MEDIOCAMPISTAS
México,Brian Gutiérrez,MEDIOCAMPISTAS
México,Gilberto Mora,MEDIOCAMPISTAS
México,Raúl Jiménez,DELANTEROS
México,Santiago Giménez,DELANTEROS
México,Guillermo Martínez,DELANTEROS
México,Armando González,DELANTEROS
México,Julián Quiñones,DELANTEROS
México,Alexis Vega,DELANTEROS
México,Roberto Alvarado,DELANTEROS
México,César Huerta,DELANTEROS
Corea Del Sur,Jo Hyeon-woo,ARQUEROS
Corea Del Sur,Kim Seung-gyu,ARQUEROS
Corea Del Sur,Song Bum-keun,ARQUEROS
Corea Del Sur,Kim Min-jae,DEFENSORES
Corea Del Sur,Cho Wi-je,DEFENSORES
Corea Del Sur,Lee Han-beom,DEFENSORES
Corea Del Sur,Kim Tae-hyeon,DEFENSORES
Corea Del Sur,Park Jin-seob,DEFENSORES
Corea Del Sur,Lee Gi-hyuk,DEFENSORES
Corea Del Sur,Lee Tae-seok,DEFENSORES
Corea Del Sur,Seol Young-woo,DEFENSORES
Corea Del Sur,Jens Castrop,DEFENSORES
Corea Del Sur,Kim Moon-hwan,DEFENSORES
Corea Del Sur,Yang Hyun-jun,MEDIOCAMPISTAS
Corea Del Sur,Paik Seung-ho,MEDIOCAMPISTAS
Corea Del Sur,Hwang In-beom,MEDIOCAMPISTAS
Corea Del Sur,Kim Jin-gyu,MEDIOCAMPISTAS
Corea Del Sur,Bae Jun-ho,MEDIOCAMPISTAS
Corea Del Sur,Eom Ji-sung,MEDIOCAMPISTAS
Corea Del Sur,Hwang Hee-chan,MEDIOCAMPISTAS
Corea Del Sur,Lee Dong-gyeong,MEDIOCAMPISTAS
Corea Del Sur,Lee Jae-sung,MEDIOCAMPISTAS
Corea Del Sur,Lee Kang-in,MEDIOCAMPISTAS
Corea Del Sur,Oh Hyeon-gyu,DELANTEROS
Corea Del Sur,Son Heung-min,DELANTEROS
Corea Del Sur,Cho Gue-sung,DELANTEROS
República Checa,Lukas Hornicek,ARQUEROS
República Checa,Matej Kovar,ARQUEROS
República Checa,Jindrich Stanek,ARQUEROS
República Checa,Vladimir Coufal,DEFENSORES
República Checa,David Doudera,DEFENSORES
República Checa,Tomas Holes,DEFENSORES
República Checa,Robin Hranac,DEFENSORES
República Checa,Stepan Chaloupek,DEFENSORES
República Checa,David Jurásek,DEFENSORES
República Checa,Ladislav Krejci,DEFENSORES
República Checa,Jaroslav Zeleny,DEFENSORES
República Checa,David Zima,DEFENSORES
República Checa,Lukas Cerv,MEDIOCAMPISTAS
República Checa,Vladimir Darida,MEDIOCAMPISTAS
República Checa,Lukas Provod,MEDIOCAMPISTAS
República Checa,Michal Sadilek,MEDIOCAMPISTAS
República Checa,Hugo Sochurek,MEDIOCAMPISTAS
República Checa,Alexandr Sojka,MEDIOCAMPISTAS
República Checa,Tomas Soucek,MEDIOCAMPISTAS
República Checa,Pavel Sulc,MEDIOCAMPISTAS
República Checa,Denis Visinsky,MEDIOCAMPISTAS
República Checa,Adam Hlozek,DELANTEROS
República Checa,Tomas Chory,DELANTEROS
República Checa,Mojmir Chytil,DELANTEROS
República Checa,Jan Kuchta,DELANTEROS
República Checa,Patrik Schick,DELANTEROS
Sudáfrica,Ronwen Williams,ARQUEROS
Sudáfrica,Ricardo Goss,ARQUEROS
Sudáfrica,Sipho Chaine,ARQUEROS
Sudáfrica,Khuliso Mudau,DEFENSORES
Sudáfrica,Olwethu Makhanya,DEFENSORES
Sudáfrica,Bradley Cross,DEFENSORES
Sudáfrica,Aubrey Modiba,DEFENSORES
Sudáfrica,Thabang Matuludi,DEFENSORES
Sudáfrica,Nkosinathi Sibisi,DEFENSORES
Sudáfrica,Ime Okon,DEFENSORES
Sudáfrica,Samukele Kabini,DEFENSORES
Sudáfrica,Mbekezeli Mbokazi,DEFENSORES
Sudáfrica,Kamogelo Sebelebele,DEFENSORES
Sudáfrica,Khulumani Ndamane,DEFENSORES
Sudáfrica,Teboho Mokoena,MEDIOCAMPISTAS
Sudáfrica,Thalente Mbatha,MEDIOCAMPISTAS
