pais,country_slug,jugador,slug,posicion_listado,primary_position,secondary_positions,wikidata_id,wikidata_label,wikidata_description,enrichment_status,birth_date,height_cm,club,shirt_number,is_captain,attack,midfield,defense,goalkeeping,ovr
México,mexico,Raúl Rangel,raul-rangel,ARQUEROS,GK,[],Q120753803,José Raul Rangel,Mexican footballer (born 2000),matched,2000-02-25,191,,,false,9,19,31,80,73
México,mexico,Carlos Acevedo,carlos-acevedo,ARQUEROS,GK,[],Q26707107,Carlos Acevedo,Mexican association football player (b. 1996),matched,1996-04-19,182,Santos Laguna,,false,11,21,33,82,75
México,mexico,Guillermo Ochoa,guillermo-ochoa,ARQUEROS,GK,[],Q215522,Guillermo Ochoa,Mexican association football player (born 1985),matched,1985-07-13,183,AEL Limassol FC,,false,11,21,33,82,75
México,mexico,Israel Reyes,israel-reyes,DEFENSORES,CB,"[""LB"",""RB""]",Q107739233,Israel Reyes,Mexican association football player,matched,2000-05-23,179,,,false,33,52,77,2,71
México,mexico,Jorge Sánchez,jorge-sanchez,DEFENSORES,CB,"[""LB"",""RB""]",Q11073995,Jorge Sánchez,Mexican association football player,matched,1993-02-14,170,Club Celaya,,false,35,54,79,4,73
México,mexico,César Montes,cesar-montes,DEFENSORES,CB,[],Q20816441,César Montes,Mexican association football player,matched,1997-02-24,191,Club de Fútbol Monterrey,,false,37,56,81,6,75
México,mexico,Edson Álvarez,edson-alvarez,DEFENSORES,CB,[],Q27859514,Edson Álvarez,Mexican association football player,matched,1997-10-24,185,West Ham United F.C.,,false,40,59,84,9,78
México,mexico,Johan Vásquez,johan-vasquez,DEFENSORES,CB,"[""LB"",""RB""]",Q9012371,Johan Vásquez,Peruvian footballer,matched,1984-10-08,,Cienciano,,false,33,52,77,2,71
México,mexico,Jesús Gallardo,jesus-gallardo,DEFENSORES,CB,"[""LB"",""RB""]",Q22092356,Jesús Gallardo,Mexican association football player,matched,1994-08-15,177,Pumas UNAM,,false,34,53,78,3,72
México,mexico,Mateo Chávez,mateo-chavez,DEFENSORES,CB,"[""LB"",""RB""]",Q124420330,Mateo Chávez,Mexican footballer (born 2004),matched,2004-05-12,177,,,false,32,51,76,1,70
México,mexico,Erik Lira,erik-lira,MEDIOCAMPISTAS,CM,[],Q98593181,Erik Lira,Mexican footballer,matched,2000-05-08,172,,,false,52,73,54,1,71
México,mexico,Obed Vargas,obed-vargas,MEDIOCAMPISTAS,CM,[],Q106778770,Obed Vargas,Mexican soccer player,matched,2005-08-05,175,Seattle Sounders FC,,false,51,72,53,1,70
México,mexico,Luis Romo,luis-romo,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q56433831,Luis Romo,Mexican association football player,matched,1995-06-05,184,Querétaro F.C.,,false,53,74,55,1,72
México,mexico,Álvaro Fidalgo,alvaro-fidalgo,MEDIOCAMPISTAS,CM,[],Q98092491,Álvaro Fidalgo,Mexican association football player (born 1997),matched,1997-04-09,174,Real Madrid Castilla,,false,59,80,61,6,78
México,mexico,Luis Chávez,luis-chavez,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q115789406,Luis Chávez,Peruvian association football player,matched,2000-06-10,,Club Universitario de Deportes,,false,56,77,58,3,75
México,mexico,Orbelín Pineda,orbelin-pineda,MEDIOCAMPISTAS,CM,[],Q18224489,Orbelín Pineda,Mexican association football player,matched,1996-03-24,168,AEK Athens F.C.,,false,58,79,60,5,77
México,mexico,Brian Gutiérrez,brian-gutierrez,MEDIOCAMPISTAS,CM,[],Q98536293,Brian Gutiérrez,Mexican-American soccer player,matched,2003-06-17,178,,,false,51,72,53,1,70
México,mexico,Gilberto Mora,gilberto-mora,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q129652337,Gilberto Mora,Mexican footballer (born 2008),matched,2008-10-14,168,,,false,51,72,53,1,70
México,mexico,Raúl Jiménez,raul-jimenez,DELANTEROS,ST,[],Q1925465,Raúl Jiménez,Mexican association football player (born 1991),matched,1991-05-05,190,Fulham F.C.,,false,85,60,28,5,80
México,mexico,Santiago Giménez,santiago-gimenez,DELANTEROS,ST,[],Q33296979,Santiago Giménez,Mexican footballer (born 2001),matched,2001-04-18,182,AC Milan,,false,93,68,36,13,88
México,mexico,Guillermo Martínez,guillermo-martinez,DELANTEROS,ST,"[""LW"",""RW""]",,,,unmatched,,,,,false,79,54,22,1,74
México,mexico,Armando González,armando-gonzalez,DELANTEROS,ST,"[""LW"",""RW""]",Q2058819,Armando González,Paraguayan footballer,matched,1924-00-00,,Club Guaraní,,false,81,56,24,1,76
México,mexico,Julián Quiñones,julian-quinones,DELANTEROS,ST,[],Q22082627,Julián Andrés Quiñones,Mexican association football player,matched,1997-03-24,176,Lobos de la BUAP,,false,83,58,26,3,78
México,mexico,Alexis Vega,alexis-vega,DELANTEROS,ST,"[""LW"",""RW""]",Q27825117,Alexis Vega,Argentinian association football player,matched,1993-05-01,167,Club El Porvenir,,false,84,59,27,4,79
México,mexico,Roberto Alvarado,roberto-alvarado,DELANTEROS,ST,"[""LW"",""RW""]",Q21004804,Roberto Alvarado,Mexican association football player,matched,1998-09-07,170,Tigres UANL,,false,85,60,28,5,80
México,mexico,César Huerta,cesar-huerta,DELANTEROS,ST,"[""LW"",""RW""]",Q50820392,César Huerta,Mexican association football player,matched,2000-12-03,171,C.D. Guadalajara,,false,83,58,26,3,78
Corea Del Sur,corea-del-sur,Jo Hyeon-woo,jo-hyeon-woo,ARQUEROS,GK,[],Q15622446,Jo Hyeon-woo,South Korean footballer,matched,1991-09-25,190,Ulsan HD FC,,false,11,21,33,82,75
Corea Del Sur,corea-del-sur,Kim Seung-gyu,kim-seung-gyu,ARQUEROS,GK,[],Q6409355,Kim Seung-gyu,South Korean association football player,matched,1990-09-30,184,Al-Shabab Football Club,,false,5,15,27,76,69
Corea Del Sur,corea-del-sur,Song Bum-keun,song-bum-keun,ARQUEROS,GK,[],Q49562244,Song Bum-keun,South Korean association football player,matched,1997-10-15,194,Shonan Bellmare,,false,12,22,34,83,76
Corea Del Sur,corea-del-sur,Kim Min-jae,kim-min-jae,DEFENSORES,CB,[],Q28699707,Kim Min-jae,South Korean association football player (born 1996),matched,1996-11-15,190,FC Bayern Munich,,false,41,60,85,10,79
Corea Del Sur,corea-del-sur,Cho Wi-je,cho-wi-je,DEFENSORES,CB,"[""LB"",""RB""]",Q119432409,Cho Wi-je,South Korean footballer,matched,2001-08-25,,,,false,32,51,76,1,70
Corea Del Sur,corea-del-sur,Lee Han-beom,lee-han-beom,DEFENSORES,CB,"[""LB"",""RB""]",Q106779330,Lee Han-beom,South Korean footballer,matched,2002-06-17,190,FC Midtjylland,,false,37,56,81,6,75
